kind	x0	x1	top	bottom	width	height
line	1922.4	1922.7	1928.4	1928.4	0.3	0.0
line	1922.0	1922.4	1928.4	1928.4	0.4	0.0
line	1920.0	1920.0	1928.4	1929.4	0.0	1.0
line	1923.0	1923.0	1928.4	1929.4	0.0	1.0
line	1896.8	1946.2	1937.5	1937.5	49.3	0.0
line	1896.8	1896.8	1931.7	1937.5	0.0	5.8
line	1896.8	1946.2	1931.7	1931.7	49.3	0.0
line	1946.2	1946.2	1931.7	1937.5	0.0	5.8
line	1921.6	1946.2	1977.3	1977.3	24.6	0.0
line	1921.6	1921.6	1937.7	1977.3	0.0	39.6
line	1921.6	1946.2	1937.7	1937.7	24.6	0.0
line	1946.2	1946.2	1937.7	1977.3	0.0	39.6
line	1896.7	1946.2	1983.4	1983.4	49.5	0.0
line	1945.1	1946.2	1977.4	1977.4	1.2	0.0
line	1897.9	1945.1	1977.4	1977.4	47.1	0.0
line	1896.7	1897.9	1977.4	1977.4	1.2	0.0
line	1921.4	1921.6	1976.2	1976.2	0.2	0.0
